school_name,Address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,City,State,latitude,longitude
SWISS COTTAGE SECONDARY SCHOOL,3    BUKIT BATOK STREET 34,659322,BUKIT GOMBAK MRT,"187, 188, 985, 945",BUKIT BATOK,WEST,Singapore,Singapore,1.364333907,103.7506737
TAMPINES MERIDIAN JUNIOR COLLEGE,21   Pasir Ris Street 71,518799,Pasir Ris MRT Station,"3, 39, 53, 81, 89, 109, 358, 518",PASIR RIS,EAST,Singapore,Singapore,1.376741929,103.9375533
TAMPINES NORTH PRIMARY SCHOOL,30   TAMPINES AVENUE 9,529565,Tampines MRT,"SBS Transit 28, 29, 293",TAMPINES,EAST,Singapore,Singapore,1.36069172,103.9489368
TAMPINES PRIMARY SCHOOL,250  TAMPINES STREET 12,529426,Tampines MRT,"8, 10, 17,18, 27, 31, 65, 292, 293, or any bus going into Tampines Interchange",TAMPINES,EAST,Singapore,Singapore,1.350486398,103.9435731
TAMPINES SECONDARY SCHOOL,252  TAMPINES ST 12,529427,TAMPINES MRT,"3,  8,  15,  17,  18,  20,  21,  27,  28,  34,  39,  59,  129,  168,  292,  298,  518",TAMPINES,EAST,Singapore,Singapore,1.349434801,103.9439891
TANGLIN SECONDARY SCHOOL,301  WEST COAST ROAD,127391,CLEMENTI MRT,"30, 51, 78, 285, 143, 176",CLEMENTI,SOUTH,Singapore,Singapore,1.309773478,103.7582154
TANJONG KATONG GIRLS' SCHOOL,20   Dunman Lane,439272,"PAYA LEBAR MRT, DAKOTA MRT","10, 16, 31, 32, 33, 40, 43, 134, 135, 197",MARINE PARADE,EAST,Singapore,Singapore,1.307291227,103.896294
TANJONG KATONG PRIMARY SCHOOL,860  NEW UPPER CHANGI ROAD,467353,"From Bedok MRT: 2, 9, 24, 31, 35, 35M, 222 From Tenah Merah MRT: 2, 9, 24, 31, 35, 35M, 45","New Upper Changi Road (Opposite the school): 2, 9, 24, 31, 35, 35M, 45, 222, 506, NR7 (School side): 2, 9, 24, 31, 35, 35M, 45, 222, 506",MARINE PARADE,EAST,Singapore,Singapore,1.32401712,103.9389668
TANJONG KATONG SECONDARY SCHOOL,130  HAIG ROAD,438796,"PAYA LEBAR MRT, DAKOTA MRT","10, 16, 31, 32, 33, 40, 76, 135, 197",MARINE PARADE,EAST,Singapore,Singapore,1.308583374,103.8973301
TAO NAN SCHOOL,49   MARINE CRESCENT,449761,"Paya Lebar, Eunos","13, 16, 31, 36, 43, 48, 55, 134, 196, 197",MARINE PARADE,EAST,Singapore,Singapore,1.304631529,103.9112042
