school_name,Address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,City,State
ASSUMPTION ENGLISH SCHOOL,622  UPPER BUKIT TIMAH ROAD,678117,CASHEW MRT,"67, 75, 170, 171, 176, 178, 184, 961, 963, 970",BUKIT PANJANG,WEST,Singapore,Singapore
ASSUMPTION PATHWAY SCHOOL,30   Cashew Road,679697,"Downtown Line 2, Cashew mrt","SBS Transit No 170    SMRT No 67, 75, 171, 176, 178, 184, 961, 963 & 970",BUKIT PANJANG,WEST,Singapore,Singapore
BARTLEY SECONDARY SCHOOL,10   JALAN BUNGA RAMPAI,538403,"BARTLEY MRT, TAI SENG MRT","22, 24, 28, 43, 58, 62, 70, 70M, 76, 80, 80A, 93, 158",TOA PAYOH,SOUTH,Singapore,Singapore
BEACON PRIMARY SCHOOL,36   Bukit Panjang Ring Road,679944,Bangkit LRT,"920, 922",BUKIT PANJANG,WEST,Singapore,Singapore
BEATTY SECONDARY SCHOOL,1    TOA PAYOH NORTH,318990,"BRADDELL MRT, TOA PAYOH MRT","28, 56, 73, 88, 93, 105, 153, 155, 157, 159, 163, 231, 232",TOA PAYOH,SOUTH,Singapore,Singapore
BEDOK GREEN PRIMARY SCHOOL,1    BEDOK SOUTH AVE 2,469317,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",BEDOK,EAST,Singapore,Singapore
BEDOK GREEN SECONDARY SCHOOL,360  BEDOK NORTH AVE 3,469722,"BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506",BEDOK,EAST,Singapore,Singapore
BEDOK SOUTH SECONDARY SCHOOL,1    JALAN LANGGAR BEDOK,468585,TANAH MERAH MRT,"10, 14, 45",BEDOK,EAST,Singapore,Singapore
BEDOK VIEW SECONDARY SCHOOL,6    BEDOK SOUTH AVENUE 3,469293,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48, 506",BEDOK,EAST,Singapore,Singapore
BENDEMEER PRIMARY SCHOOL,91   BENDEMEER ROAD,339948,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985",KALLANG,SOUTH,Singapore,Singapore
BENDEMEER SECONDARY SCHOOL,1    ST WILFRED ROAD,327919,BOON KENG MRT,"13,  23,  31,  64,  65,  66, 125, 133, 140, 147, 857, 985",KALLANG,SOUTH,Singapore,Singapore
BLANGAH RISE PRIMARY SCHOOL,91   TELOK BLANGAH HEIGHTS,109100,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,BUKIT MERAH,SOUTH,Singapore,Singapore
BOON LAY GARDEN PRIMARY SCHOOL,20   BOON LAY DRIVE,649930,Lakeside & Boon Lay,"30,99,154,178,180,187,240,246",JURONG WEST,WEST,Singapore,Singapore
BOON LAY SECONDARY SCHOOL,11   JURONG WEST STREET 65,648354,BOON LAY MRT,"99, 181, 192, 193, 242, 243, 257, 502, 502A",JURONG WEST,WEST,Singapore,Singapore
BOWEN SECONDARY SCHOOL,2    LORONG NAPIRI,547529,"HOUGANG MRT, SERANGOON MRT, SENGKANG MRT","43, 70, 73, 103, 109, 156, 854, 25, 74, 74E, 76, 112, 132, 147, 165, 55",HOUGANG,NORTH,Singapore,Singapore
BROADRICK SECONDARY SCHOOL,61   DAKOTA CRESCENT,399935,DAKOTA MRT,"10, 16, 30, 31, 32, 33",GEYLANG,EAST,Singapore,Singapore
